   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   7.0797902e+01
   6.3291140e-04   6.2690617e-06   9.8549805e-01   7.0948544e-12   1.7374330e+00
   1.3077628e-03   1.2737510e-05   9.7003846e-01   2.8461860e-11   3.8174749e-01
   2.0264105e-03   1.9381040e-05   9.5359382e-01   6.4947659e-11   1.4726973e-01
   2.7907351e-03   2.6160182e-05   9.3616457e-01   1.1712817e-10   7.1898091e-02
   3.6026386e-03   3.3012428e-05   9.1780117e-01   1.8499992e-10   4.0153104e-02
   4.4640419e-03   3.9846574e-05   8.9862747e-01   2.6756408e-10   2.4576846e-02
   5.3768815e-03   4.6544032e-05   8.7885557e-01   3.6247295e-10   1.6135745e-02
   6.3431072e-03   5.2971019e-05   8.5877984e-01   4.6602280e-10   1.1215735e-02
   7.3646796e-03   5.8999968e-05   8.3874438e-01   5.7368319e-10   8.1706868e-03
   8.4435660e-03   6.4531612e-05   8.1909306e-01   6.8100493e-10   6.1818588e-03
   9.5817400e-03   6.9350990e-05   8.0063056e-01   7.8140595e-10   4.8535711e-03
   1.0781175e-02   7.3331878e-05   7.8407471e-01   8.6939057e-10   3.9446738e-03
   1.2043842e-02   7.6555660e-05   7.6950770e-01   9.4496214e-10   3.2974828e-03
   1.3371712e-02   7.9152667e-05   7.5676105e-01   1.0100524e-09   2.8196206e-03
   1.4766743e-02   8.1247830e-05   7.4558585e-01   1.0668768e-09   2.4558348e-03
   1.6230891e-02   8.2945301e-05   7.3572844e-01   1.1173649e-09   2.1716438e-03
   1.7766092e-02   8.4326730e-05   7.2696326e-01   1.1630320e-09   1.9447055e-03
   1.9374270e-02   8.5454543e-05   7.1910161e-01   1.2050215e-09   1.7600590e-03
   2.1057330e-02   8.6376158e-05   7.1198993e-01   1.2441860e-09   1.6073902e-03
   2.2817155e-02   8.7127684e-05   7.0550454e-01   1.2811630e-09   1.4794038e-03
   2.4655607e-02   8.7736827e-05   6.9954601e-01   1.3164336e-09   1.3708183e-03
   2.6574520e-02   8.8225043e-05   6.9403411e-01   1.3503653e-09   1.2777310e-03
   2.8575702e-02   8.8609122e-05   6.8890375e-01   1.3832426e-09   1.1972035e-03
   3.0660925e-02   8.8902330e-05   6.8410173e-01   1.4152893e-09   1.1269858e-03
   3.2831933e-02   8.9115256e-05   6.7958423e-01   1.4466829e-09   1.0653297e-03
   3.5090435e-02   8.9256424e-05   6.7531484e-01   1.4775670e-09   1.0108562e-03
